Kode,Nama,Nama Latin,Asal,Kategori,Tipe Bahan,Keterangan,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
AP034,Batar daan,,Timor Leste,Serealia,Olahan (Processed),"Semacam bubur jagung yang dilengkapi dengan campuran daging, kacang tanah, sayuran, dan belimbing",: 75.3 g,: 107 Kal,: 2.2 g,: 2.2 g,: 19.6 g,: 0.7 g,: 20 mg,: 30 mg,: 0.6 mg,: 200 mg,: 90.0 mg,: 0.10 mg,,: 0.02 mg,,,,,,: 0.18 mg,
BR002,"Batatas gembili, segar (Lesser yam, fresh)",Dioscorea esculenta,,Umbi Berpati,Mentah (Raw),,: 76.7 g,: 76 Kal,: 1.1 g,: 0.9 g,: 16.0 g,: 0.7 g,: 0 mg,: 40 mg,: 0.2 mg,: 10 mg,: 200.0 mg,: 0.20 mg,: 0.3 mg,: 0.00 mg,: 0.9 mg,: 4.2 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.06 mg,: 0 mg
BP001,"Batatas kelapa, ubi, bakar",,,Umbi Berpati,Olahan (Processed),,: 73.2 g,: 110 Kal,: 1.4 g,: 1.1 g,: 23.4 g,: 0.7 g,: 1 mg,: 46 mg,: 0.2 mg,: 12 mg,: 230.0 mg,: 0.20 mg,: 0.3 mg,: 0.00 mg,: 0.0 mg,: 4.5 g,: 0 mcg,: 0 mcg,: 0 mcg,: 1.13 mg,: 0 mg
BP002,"Batatas kelapa, ubi, kukus",,,Umbi Berpati,Olahan (Processed),,: 75.7 g,: 92 Kal,: 1.2 g,: 0.3 g,: 21.0 g,: 1.8 g,: 0 mg,: 42 mg,: 0.2 mg,: 10 mg,: 209.0 mg,: 0.20 mg,: 0.3 mg,: 0.00 mg,: 0.7 mg,: 4.1 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.28 mg,: 0 mg
BR003,"Batatas kelapa, ubi, segar",,,Umbi Berpati,Mentah (Raw),,: 76.1 g,: 89 Kal,: 1.1 g,: 0.1 g,: 21.0 g,: 0.7 g,: 0 mg,: 40 mg,: 0.2 mg,: 20 mg,: 340.0 mg,: 0.10 mg,: 0.2 mg,: 0.00 mg,: 0.9 mg,: 4.0 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.38 mg,: 0 mg
BP003,"Batatas tali, ubi, rebus",,,Umbi Berpati,Olahan (Processed),,: 53.2 g,: 182 Kal,: 2.4 g,: 0.4 g,: 42.2 g,: 1.8 g,: 1 mg,: 80 mg,: 0.3 mg,: 20 mg,: 402.0 mg,: 0.30 mg,: 0.6 mg,: 0.00 mg,: 1.3 mg,: 9.2 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.27 mg,: 0 mg
DR007,"Bawang bombay, segar (Onion, fresh)",Allium cepa  cv. Group Common Onion,,Sayuran,Mentah (Raw),,: 87.5 g,: 43 Kal,: 1.4 g,: 0.2 g,: 10.3 g,: 0.6 g,: 32 mg,: 44 mg,: 0.5 mg,: 12 mg,: 9.6 mg,: 0.10 mg,: 0.3 mg,: 0.21 mg,: 0.4 mg,: 2.0 g,,: 788 mcg,: 50 mcg,: 0.03 mg,: 9 mg
NR007,"Bawang merah, segar (Shallot)",Allium fistulosum,,Bumbu,Mentah (Raw),,: 88.0 g,: 46 Kal,: 1.5 g,: 0.3 g,: 9.2 g,: 1.0 g,: 36 mg,: 40 mg,: 0.8 mg,: 7 mg,: 178.6 mg,: 0.06 mg,: 0.2 mg,: 0.04 mg,: 0.2 mg,: 1.7 g,,: 2 mcg,,: 0.03 mg,: 2 mg
NR008,"Bawang putih, segar (Garlic)",Allium sativum,,Bumbu,Mentah (Raw),,: 71.0 g,: 112 Kal,: 4.5 g,: 0.2 g,: 23.1 g,: 1.8 g,: 42 mg,: 134 mg,: 1.0 mg,: 46 mg,: 665.7 mg,: 0.09 mg,: 0.4 mg,: 0.07 mg,: 0.3 mg,: 0.6 g,,: 0 mcg,,: 0.22 mg,: 15 mg
DP002,"Bayam ,rebus",,,Sayuran,Olahan (Processed),,: 93.5 g,: 23 Kal,: 1.2 g,: 0.6 g,: 3.7 g,: 1.0 g,: 150 mg,: 35 mg,: 0.5 mg,: 16 mg,: 308.4 mg,: 0.20 mg,: 0.3 mg,: 0.10 mg,: 0.9 mg,: 1.1 g,: 0 mcg,": 3,282 mcg",": 2,864 mcg",: 0.02 mg,: 19 mg
DR009,"Bayam merah, segar (Spinach, red, fresh)",Amaranthus tricolor,,Sayuran,Mentah (Raw),,: 88.5 g,: 41 Kal,: 2.2 g,: 0.8 g,: 6.3 g,: 2.2 g,: 520 mg,: 80 mg,: 7.0 mg,: 20 mg,: 60.0 mg,: 0.20 mg,: 0.8 mg,: 0.10 mg,: 0.1 mg,: 2.2 g,: 0 mcg,": 7,325 mcg",,: 0.20 mg,: 62 mg
DP001,"Bayam, kukus",,,Sayuran,Olahan (Processed),,: 90.7 g,: 30 Kal,: 1.3 g,: 0.7 g,: 5.8 g,: 1.6 g,: 239 mg,: 35 mg,: 5.7 mg,: 15 mg,: 431.0 mg,: 0.10 mg,: 0.3 mg,: 0.10 mg,: 0.9 mg,: 1.2 g,: 0 mcg,": 2,699 mcg",": 3,750 mcg",: 0.02 mg,: 32 mg
DR008,"Bayam, segar (Spinach, fresh)",Amaranthus tricolor,,Sayuran,Mentah (Raw),,: 94.5 g,: 16 Kal,: 0.9 g,: 0.4 g,: 2.9 g,: 1.3 g,: 166 mg,: 76 mg,: 3.5 mg,: 16 mg,: 456.4 mg,: 0.13 mg,: 0.4 mg,: 0.10 mg,: 1.0 mg,: 0.7 g,,": 2,699 mcg",": 2,293 mcg",: 0.04 mg,: 41 mg
HP005,"Bayau mi balu, masakan",,,Telur,Olahan (Processed),Kuning telur dibuat seperti kue dadar kemudian dimasak dengan sirup gula putih,: 36.1 g,: 313 Kal,: 6.0 g,: 12.2 g,: 44.8 g,: 0.9 g,,,,,,,,: 0.27 mg,: 9.7 mg,,: 783 mcg,: 89 mcg,,: 0.14 mg,
FR012,"Bebek (itik), daging, segar (Duck, meat, fresh)",Anas platyrhynchos domesticus,,Daging,Mentah (Raw),,: 54.3 g,: 321 Kal,: 16.0 g,: 28.6 g,: 0.0 g,: 1.1 g,: 15 mg,: 188 mg,: 1.8 mg,: 54 mg,: 199.0 mg,: 0.21 mg,: 1.2 mg,: 0.28 mg,: 4.3 mg,: 0.0 g,: 273 mcg,: 0 mcg,,: 0.10 mg,: 0 mg
FR013,"Bebek alabio, daging, segar (Duck, alabio, meat, fresh)",Anas platyrhynchos domesticus,,Daging,Mentah (Raw),,: 57.0 g,: 303 Kal,: 11.3 g,: 27.0 g,: 3.7 g,: 1.0 g,: 20 mg,: 293 mg,: 4.8 mg,: 50 mg,: 260.0 mg,: 0.70 mg,: 2.0 mg,: 0.04 mg,: 4.1 mg,: 0.0 g,,: 0 mcg,,: 0.36 mg,
FP003,"Bebek, daging, goreng",,,Daging,Olahan (Processed),,: 48.8 g,: 300 Kal,: 24.0 g,: 20.7 g,: 4.5 g,: 2.0 g,: 170 mg,: 170 mg,: 4.1 mg,: 34 mg,: 6.0 mg,: 0.40 mg,: 3.0 mg,: 0.40 mg,: 10.6 mg,: 0.0 g,,: 0 mcg,,: 0.10 mg,
DP026,Beberuk,,NTB,Sayuran,Olahan (Processed),"Sayuran mentah (kacang panjang dan terong ungu kecil diiris halus), ditambah bumbu / saos : cabe merah, cabe rawit merah, tomat, terasi, dan garam",: 89.1 g,: 65 Kal,: 1.1 g,: 5.2 g,: 3.5 g,: 1.1 g,: 179 mg,: 72 mg,: 8.3 mg,: 53 mg,: 427.0 mg,: 0.40 mg,: 0.2 mg,,: 4.4 mg,: 3.1 g,,: 44 mcg,,: 0.30 mg,
FP036,Beef burger,,,Daging,Olahan (Processed),,: 45.5 g,: 258 Kal,: 10.6 g,: 9.5 g,: 32.5 g,: 2.2 g,: 210 mg,: 157 mg,: 2.6 mg,: 572 mg,: 189.1 mg,,,,,: 0.4 g,: 218 mcg,,": 7,580 mcg",: 0.95 mg,: 0 mg
FP037,"Beef teriyaki, masakan",,Jepang,Daging,Olahan (Processed),Daging sapi bumbu teriyaki (rasa manis).,: 65.1 g,: 151 Kal,: 8.6 g,: 3.1 g,: 22.3 g,: 0.9 g,: 142 mg,: 62 mg,: 2.3 mg,: 377 mg,,,,,,: 0.3 g,: 22 mcg,,: 400 mcg,: 0.53 mg,: 0 mg
FP038,"Beef yakiniku, masakan",,Jepang,Daging,Olahan (Processed),Daging sapi panggang (rasa gurih),: 67.7 g,: 132 Kal,: 9.8 g,: 1.1 g,: 20.7 g,: 0.8 g,: 302 mg,: 67 mg,: 2.0 mg,: 409 mg,,,,,,: 0.3 g,: 78 mcg,,: 700 mcg,: 0.62 mg,: 0 mg
NP002,Bekasam (Tiny shrimp fermented),,,Bumbu,Olahan (Processed),Udang kecil yang difermentasi,: 65.5 g,: 116 Kal,: 11.9 g,: 4.9 g,: 6.1 g,: 11.6 g,: 704 mg,: 757 mg,: 7.5 mg,: 711 mg,: 176.0 mg,: 0.80 mg,: 1.9 mg,: 0.03 mg,: 2.1 mg,: 3.5 g,,: 0 mcg,,: 0.00 mg,
NP003,Bekasang (Fermented fish),,,Bumbu,Olahan (Processed),Ikan yang difermentasi,: 67.1 g,: 78 Kal,: 11.4 g,: 2.0 g,: 3.6 g,: 15.9 g,: 54 mg,: 97 mg,: 2.6 mg,": 4,016 mg",: 121.0 mg,: 0.20 mg,: 4.8 mg,: 0.12 mg,: 0.6 mg,: 0.4 g,,,,: 0.15 mg,
GP001,"Bekicot, dendeng, mentah",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 6.7 g,: 441 Kal,: 48.7 g,: 20.3 g,: 15.8 g,: 8.4 g,: 692 mg,: 523 mg,: 16.6 mg,,,,,,,: 0.0 g,: 6 mcg,,": 1,408 mcg",: 0.56 mg,: 69 mg
FR014,"Belibis, daging, segar (Whistling duck, meat, fresh)",Dendrocygna arcuata,,Daging,Mentah (Raw),,: 71.3 g,: 131 Kal,: 20.2 g,: 4.3 g,: 2.8 g,: 1.4 g,: 8 mg,: 192 mg,: 9.6 mg,: 46 mg,: 104.0 mg,: 1.20 mg,: 1.6 mg,: 0.08 mg,: 2.7 mg,: 0.0 g,,: 0 mcg,,: 0.37 mg,
ER006,"Belimbing, segar (Starfruit, fresh)",Averrhoa carambola,,Buah,Mentah (Raw),,: 90.0 g,: 36 Kal,: 0.4 g,: 0.4 g,: 8.8 g,: 0.4 g,: 4 mg,: 12 mg,: 1.1 mg,: 4 mg,: 130.0 mg,,: 0.1 mg,,,: 3.2 g,,: 29 mcg,: 170 mcg,: 0.03 mg,: 35 mg
BP004,"Belitung, talas, kukus",,,Umbi Berpati,Olahan (Processed),,: 63.1 g,: 145 Kal,: 1.2 g,: 0.4 g,: 34.2 g,: 1.1 g,: 21 mg,: 48 mg,: 0.9 mg,: 7 mg,: 552.6 mg,: 0.20 mg,: 0.9 mg,: 0.10 mg,: 2.3 mg,: 1.0 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.08 mg,: 1 mg
BR004,"Belitung, talas, segar (Taro, belitung, steamed)",Xanthosoma  sagittifolium,,Umbi Berpati,Mentah (Raw),,: 63.1 g,: 145 Kal,: 1.2 g,: 0.4 g,: 34.2 g,: 1.1 g,: 26 mg,: 54 mg,: 1.4 mg,: 6 mg,: 536.1 mg,: 0.20 mg,: 0.9 mg,: 0.10 mg,: 2.3 mg,: 1.5 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.10 mg,: 2 mg
GP002,"Belut, goreng (Asian swamp eel, fresh)",Monopterus albus,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 11.2 g,: 417 Kal,: 25.9 g,: 19.4 g,: 32.0 g,: 11.5 g,: 840 mg,: 872 mg,: 4.9 mg,: 71 mg,: 217.7 mg,: 0.30 mg,: 1.8 mg,: 0.20 mg,: 10.5 mg,: 0.0 g,: 0 mcg,,: 0 mcg,: 0.00 mg,: 0 mg
GR001,"Belut, segar (Asian swamp eel, fresh)",Monopterus albus,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 81.5 g,: 70 Kal,: 14.6 g,: 0.8 g,: 1.0 g,: 2.1 g,: 49 mg,: 155 mg,: 1.5 mg,: 55 mg,: 169.0 mg,: 0.20 mg,: 1.2 mg,: 0.12 mg,: 7.7 mg,: 0.0 g,,: 0 mcg,,: 0.22 mg,
GR002,"Belut,laut, segar (Eel, fresh)",Macrotema caligans,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 79.5 g,: 93 Kal,: 12.8 g,: 1.5 g,: 6.1 g,: 4.1 g,: 60 mg,: 199 mg,: 3.0 mg,: 33 mg,: 175.9 mg,: 0.10 mg,: 1.0 mg,: 0.00 mg,: 2.7 mg,: 0.0 g,: 51 mcg,: 3 mcg,: 71 mcg,: 0.06 mg,
BR005,"Bengkuang, segar (Yam bean, fresh)",Pachyrrhizus erosus,,Umbi Berpati,Mentah (Raw),,: 85.1 g,: 59 Kal,: 1.4 g,: 0.2 g,: 12.8 g,: 0.5 g,: 15 mg,: 18 mg,: 0.6 mg,: 2 mg,: 244.3 mg,: 0.10 mg,: 0.3 mg,: 0.10 mg,: 0.2 mg,: 1.0 g,,: 0 mcg,,: 0.04 mg,: 20 mg
BR006,"Bentul (Komba),  talas, segar (Taro, bentul, fresh)",Colocasia esculenta,,Umbi Berpati,Mentah (Raw),,: 75.8 g,: 98 Kal,: 1.6 g,: 0.7 g,: 20.9 g,: 1.8 g,: 44 mg,: 66 mg,: 1.5 mg,,: 195.5 mg,: 0.20 mg,: 0.6 mg,: 0.10 mg,: 0.8 mg,: 0.7 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.02 mg,: 0 mg
BP005,"Bentul, talas, kukus",,,Umbi Berpati,Olahan (Processed),,: 81.1 g,: 71 Kal,: 2.3 g,: 0.3 g,: 15.4 g,: 0.9 g,: 29 mg,: 26 mg,: 0.6 mg,,: 201.0 mg,: 0.20 mg,: 0.6 mg,: 0.00 mg,: 0.0 mg,: 0.5 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.06 mg,: 21 mg
BP019,Beras Cerdas,,Jawa Timur,Umbi Berpati,Olahan (Processed),Bahan dasar terdiri dari Tepung jagung dan tepung mocaf dengan perbandingan 40 : 60,: 11.3 g,: 350 Kal,: 2.7 g,: 1.1 g,: 82.3 g,: 2.6 g,: 28 mg,: 351 mg,: 2.9 mg,: 358 mg,: 568.0 mg,: 0.20 mg,: 0.9 mg,: 0.20 mg,: 0.3 mg,: 6.2 g,,: 0 mcg,: 0 mcg,: 0.02 mg,: 0 mg
BP020,Beras ganyong,,Bengkulu,Umbi Berpati,Olahan (Processed),Pangan tunggal terolah/ produk yang berbahan baku ganyong dan jagung,: 9.3 g,: 364 Kal,: 3.4 g,: 0.7 g,: 86.3 g,: 0.5 g,: 4 mg,: 47 mg,: 5.0 mg,: 4 mg,: 72.2 mg,: 0.20 mg,: 0.6 mg,: 0.02 mg,: 0.3 mg,: 4.7 g,,: 1 mcg,: 0 mcg,: 0.02 mg,: 0 mg
AR002,"Beras giling var pelita, mentah (Rice, raw)",Oryza sativa,,Serealia,Mentah (Raw),,,: 369 Kal,: 9.5 g,: 1.4 g,: 77.1 g,: 0.6 g,: 68 mg,: 171 mg,: 1.4 mg,: 34 mg,: 0.0 mg,: 0.00 mg,: 0.0 mg,: 0.00 mg,: 0.0 mg,: 0.4 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.26 mg,: 0 mg
AR003,"Beras giling var rojolele, mentah (Rice. Raw)",Oryza sativa,,Serealia,Mentah (Raw),,: 12.0 g,: 357 Kal,: 8.4 g,: 1.7 g,: 77.1 g,: 0.8 g,: 147 mg,: 81 mg,: 1.8 mg,: 34 mg,: 112.9 mg,: 0.14 mg,: 0.1 mg,: 0.02 mg,: 1.5 mg,: 0.2 g,,: 0 mcg,: 80 mcg,: 0.20 mg,: 0 mg
AR001,"Beras giling, mentah (Rice, raw)",Oryza sativa,,Serealia,Mentah (Raw),,,: 357 Kal,: 8.4 g,: 1.7 g,: 77.1 g,: 0.8 g,: 147 mg,: 81 mg,: 1.8 mg,: 27 mg,: 71.0 mg,: 0.10 mg,: 0.5 mg,: 0.08 mg,: 2.6 mg,: 0.2 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.20 mg,: 0 mg
AR004,"Beras hitam, mentah (Rice, raw)",Oryza sativa,,Serealia,Mentah (Raw),,: 12.9 g,: 351 Kal,: 8.0 g,: 1.3 g,: 76.9 g,: 0.9 g,: 6 mg,: 198 mg,: 0.1 mg,: 15 mg,: 105.0 mg,: 0.10 mg,: 1.6 mg,: 0.06 mg,: 0.0 mg,: 20.1 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.21 mg,: 0 mg
AR005,"Beras jagung kuning, kering, mentah (Corn, yellow",Zea mays,,Serealia,Mentah (Raw),,: 10.8 g,: 358 Kal,: 5.5 g,: 0.1 g,: 82.7 g,: 0.9 g,: 20 mg,: 90 mg,: 1.4 mg,: 1 mg,: 80.0 mg,: 0.10 mg,: 4.1 mg,: 0.08 mg,: 1.0 mg,: 10.0 g,,: 641 mcg,,: 0.12 mg,: 3 mg
AR006,"Beras jagung putih, kering, mentah (Corn, white, died, crushed, raw)",Zea mays,,Serealia,Mentah (Raw),,: 22.5 g,: 307 Kal,: 4.8 g,: 0.1 g,: 71.8 g,: 0.8 g,: 17 mg,: 78 mg,: 1.2 mg,: 1 mg,: 70.0 mg,: 0.10 mg,: 3.5 mg,: 0.07 mg,: 0.9 mg,: 10.0 g,,: 301 mcg,,: 0.15 mg,: 0 mg
AR007,"Beras ketan hitam tumbuk, mentah (Glutinous rice, black, husk,raw)",Oryza sativa  var. glutinosa,,Serealia,Mentah (Raw),,: 13.7 g,: 360 Kal,: 8.0 g,: 2.3 g,: 74.5 g,: 1.5 g,: 10 mg,: 347 mg,: 6.2 mg,: 11 mg,: 288.0 mg,: 0.28 mg,: 2.2 mg,: 0.10 mg,: 2.0 mg,: 1.0 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.24 mg,: 0 mg
AR008,"Beras ketan putih tumbuk, mentah (Glutinous rice, white, husk,raw)",Oryza sativa  var. glutinosa,,Serealia,Mentah (Raw),,: 12.9 g,: 361 Kal,: 7.4 g,: 0.8 g,: 78.4 g,: 0.5 g,: 13 mg,: 157 mg,: 3.4 mg,: 3 mg,: 282.0 mg,: 0.28 mg,: 2.2 mg,: 0.00 mg,: 1.4 mg,: 0.4 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.28 mg,: 0 mg
AR009,"Beras ladang, mentah (Rice, raw)",Oryza sativa,,Serealia,Mentah (Raw),,: 9.8 g,: 376 Kal,: 7.5 g,: 3.8 g,: 78.0 g,: 0.9 g,: 20 mg,: 110 mg,: 0.8 mg,: 10 mg,: 70.0 mg,: 0.10 mg,: 1.4 mg,: 0.20 mg,: 5.1 mg,: 5.9 g,: 0 mcg,: 0 mcg,,: 0.20 mg,: 0 mg
AR010,"Beras menir, mentah (Rice, crushed, raw)",Oryza sativa,,Serealia,Mentah (Raw),,: 12.0 g,: 362 Kal,: 7.7 g,: 4.4 g,: 73.0 g,: 0.2 g,: 22 mg,: 272 mg,: 3.7 mg,: 90 mg,: 201.0 mg,: 0.10 mg,: 0.5 mg,: 0.00 mg,: 1.9 mg,: 0.2 g,: 0 mcg,: 0 mcg,,: 0.55 mg,: 0 mg
AR011,"Beras parboiled (Rice, parboiled)",Oryza sativa,,Serealia,Mentah (Raw),,: 10.0 g,: 353 Kal,: 6.8 g,: 0.6 g,: 80.0 g,: 2.5 g,: 5 mg,: 142 mg,: 0.8 mg,: 2 mg,: 46.0 mg,: 0.28 mg,: 1.0 mg,: 0.11 mg,: 3.4 mg,: 0.5 g,: 0 mcg,: 0 mcg,,: 0.22 mg,: 0 mg
BP021,Beras Siger,,Lampung,Umbi Berpati,Olahan (Processed),Bahan dasar singkong,: 13.5 g,: 344 Kal,: 1.1 g,: 0.2 g,: 28.3 g,: 0.7 g,: 32 mg,: 22 mg,: 5.6 mg,: 106 mg,: 77.9 mg,: 0.10 mg,: 0.5 mg,: 0.10 mg,: 0.2 mg,: 5.6 g,,: 0 mcg,: 0 mcg,: 0.02 mg,: 0 mg
AR013,"Beras tumbuk merah, mentah (Rice, brown with husk, raw)",Oryza sativa,,Serealia,Mentah (Raw),,: 14.6 g,: 352 Kal,: 7.3 g,: 0.9 g,: 76.2 g,: 1.0 g,: 15 mg,: 257 mg,: 4.2 mg,: 10 mg,: 202.0 mg,: 0.36 mg,: 1.9 mg,: 0.00 mg,: 3.3 mg,: 0.8 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.34 mg,: 0 mg
AR012,"Beras tumbuk, mentah (Rice with husk, raw)",Oryza sativa,,Serealia,Mentah (Raw),,: 11.5 g,: 354 Kal,: 7.8 g,: 0.4 g,: 79.9 g,: 0.4 g,: 3 mg,: 112 mg,: 0.6 mg,: 5 mg,: 85.0 mg,: 0.50 mg,: 1.5 mg,: 0.22 mg,: 5.1 mg,: 3.8 g,: 0 mcg,: 0 mcg,,: 0.25 mg,: 0 mg
GP055,"Betok wadi, masakan (Climbing gouramy)",Anabas testudineus,Kalimantan Tengah,Ikan/Kerang/Udang dll,Olahan (Processed),"Ikan betok yang dibersihkan lalu difermentasi dengan garam dalam wadah beling, setalah itu dimasak sesuai selera, digoreng atau disayur.",: 69.2 g,: 145 Kal,: 16.3 g,: 7.0 g,: 4.1 g,: 3.4 g,: 405 mg,: 523 mg,: 1.8 mg,: 69 mg,: 203.0 mg,: 1.00 mg,: 1.3 mg,,,,,,,: 0.22 mg,
AP007,Bihun goreng instan,,,Serealia,Olahan (Processed),,: 9.0 g,: 381 Kal,: 6.1 g,: 3.9 g,: 80.3 g,: 0.7 g,: 266 mg,: 151 mg,: 2.9 mg,: 928 mg,,,,,,,: 58 mcg,,: 400 mcg,: 0.37 mg,: 0 mg
AP008,"Bihun Jagung, mentah",,Jawa Barat,Serealia,Olahan (Processed),"Bihun, produk setengah jadi berbahan dasar tepung jagung",: 11.3 g,: 354 Kal,: 0.5 g,: 0.3 g,: 87.4 g,: 0.5 g,: 13 mg,: 111 mg,: 0.6 mg,: 49 mg,: 1.4 mg,: 0.40 mg,: 0.0 mg,: 0.02 mg,: 0.3 mg,: 3.0 g,,: 0 mcg,: 0 mcg,: 0.02 mg,: 0 mg
AP006,"Bihun, mentah",,,Serealia,Olahan (Processed),,: 12.9 g,: 348 Kal,: 4.7 g,: 0.1 g,: 82.1 g,: 0.2 g,: 6 mg,: 35 mg,: 1.8 mg,: 12 mg,: 5.0 mg,: 0.08 mg,: 0.7 mg,: 0.00 mg,: 0.2 mg,: 1.2 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.00 mg,: 0 mg
BP022,Biji nangka/Biji salak,,,Umbi Berpati,Olahan (Processed),"Nama lain : candil. Bahan dasar : ubi, tapioka, berkuah air gula jawa dan santan",: 40.5 g,: 262 Kal,: 2.3 g,: 5.4 g,: 51.1 g,: 0.7 g,: 60 mg,: 80 mg,: 0.8 mg,: 10 mg,: 2.0 mg,: 0.60 mg,: 2.0 mg,: 1.00 mg,,: 8.0 g,: 0 mcg,": 1,667 mcg",,: 0.10 mg,: 10 mg
AP035,Bika ambon,,Medan,Serealia,Olahan (Processed),"Kue basah berbahan dasar tepung terigu, tepung tapioka, ragi, gula pasir, telur, santan diolah dengan cara dipanggang",: 51.5 g,: 199 Kal,: 2.1 g,: 1.5 g,: 44.4 g,: 0.6 g,: 45 mg,: 28 mg,: 1.8 mg,,,,,,: 0.0 mg,: 0.3 g,: 0 mcg,,: 408 mcg,: 0.10 mg,: 0 mg
AP036,Bingka,,Banjarmasin,Serealia,Olahan (Processed),"Seperti kue lumpur. Berbahan dasar tepung terigu, kentang, telur, santan, gula, garam",: 44.4 g,: 273 Kal,: 5.3 g,: 10.6 g,: 39.1 g,: 0.6 g,,,,,,,,,,,,,,,
AP029,Biskuit,,,Serealia,Olahan (Processed),,: 2.2 g,: 458 Kal,: 6.9 g,: 14.4 g,: 75.1 g,: 1.4 g,: 62 mg,: 87 mg,: 2.7 mg,: 241 mg,: 20.3 mg,: 0.16 mg,: 0.6 mg,: 0.15 mg,: 1.4 mg,: 2.1 g,: 0 mcg,: 14 mcg,,: 0.09 mg,: 0 mg
DR010,"Bit, segar (Beet, fresh)",Beta vulgaris,,Sayuran,Mentah (Raw),,: 87.6 g,: 41 Kal,: 1.6 g,: 0.1 g,: 9.6 g,: 1.1 g,: 27 mg,: 43 mg,: 1.0 mg,: 29 mg,: 404.9 mg,: 0.20 mg,: 0.7 mg,: 0.05 mg,: 0.3 mg,: 2.6 g,,: 0 mcg,: 20 mcg,: 0.02 mg,: 10 mg
ER007,"Biwah, segar (Loquat, fresh)",Eriobotrya japonica,,Buah,Mentah (Raw),,: 87.1 g,: 51 Kal,: 0.3 g,: 0.1 g,: 12.1 g,: 0.5 g,: 220 mg,: 14 mg,: 0.8 mg,: 1 mg,: 258.6 mg,: 0.04 mg,: 0.0 mg,: 0.02 mg,: 0.0 mg,: 0.7 g,: 0 mcg,,": 12,256 mcg",: 0.10 mg,: 4 mg
AP037,Bobengka,,Sulawesi Utara,Serealia,Olahan (Processed),"Berbahan dasar tepung terigu, gula merah/gula kelapa,kenari yang diolah dengan cara dipanggang",: 46.3 g,: 225 Kal,: 5.3 g,: 2.6 g,: 45.2 g,: 0.6 g,,,,,,,,,,,,,,,
AP038,Bolu peca,,Makassar,Serealia,Olahan (Processed),Berbahan dasar tepung terigu atau tepung ketan dengan gula merah yang diolah dengan cara dikukus,: 55.6 g,: 197 Kal,: 3.3 g,: 4.6 g,: 35.6 g,: 0.9 g,,: 0 mg,: 0.0 mg,: 0 mg,: 0.0 mg,,,: 0.00 mg,: 0.0 mg,,,,,,: 0 mg
NR009,"Boros kunci, segar (Rhizomes / Kaemper / Chinesedey)",Boesenbergia rotunda,,Bumbu,Mentah (Raw),,: 90.0 g,: 40 Kal,: 1.0 g,: 0.8 g,: 7.2 g,: 1.0 g,: 50 mg,: 50 mg,: 2.0 mg,: 33 mg,: 480.0 mg,: 0.02 mg,: 0.3 mg,: 0.68 mg,: 1.7 mg,: 1.0 g,,: 0 mcg,": 5,000 mcg",: 0.08 mg,: 50 mg
NR010,"Boros laja (lengkuas), segar (Rhizomes / Galanga)",Alpinia galanga,,Bumbu,Mentah (Raw),,: 93.0 g,: 26 Kal,: 1.0 g,: 0.3 g,: 4.7 g,: 1.0 g,: 50 mg,: 50 mg,: 2.0 mg,: 24 mg,: 137.1 mg,: 0.07 mg,: 0.3 mg,: 0.06 mg,: 0.3 mg,: 1.1 g,,: 5 mcg,": 5,000 mcg",: 0.08 mg,: 50 mg
DP027,Botok lamtoro,,,Sayuran,Olahan (Processed),"Bahan dasar terdiri dari lamtoro dan kelapa parut, dikukus dengan dibungkus daun pisang.",: 63.9 g,: 186 Kal,: 11.7 g,: 9.7 g,: 13.0 g,: 2.2 g,: 771 mg,: 322 mg,: 26.0 mg,,,,,,,: 2.1 g,: 18 mcg,,: 179 mcg,: 0.27 mg,: 2 mg
